Params: lr=0.07, n_d=24, n_a=27, gamma=1.202775063226378, n_steps=4, lambda=0.009772826670069316, Score: 0.4918
Params: lr=0.1, n_d=25, n_a=22, gamma=1.2446717912050067, n_steps=6, lambda=0.008481451753250395, Score: 0.4843
Params: lr=0.1, n_d=30, n_a=21, gamma=1.2400996941980875, n_steps=6, lambda=0.007082901484767955, Score: 0.5007
Params: lr=0.1, n_d=21, n_a=24, gamma=1.2586461976419152, n_steps=7, lambda=0.008928714938273715, Score: 0.4916
Params: lr=0.1, n_d=32, n_a=29, gamma=1.2954411804477397, n_steps=5, lambda=0.007021980822730229, Score: 0.5054
Params: lr=0.1, n_d=28, n_a=32, gamma=1.3435972638229057, n_steps=7, lambda=0.005331227348845678, Score: 0.4972
Params: lr=0.05, n_d=21, n_a=16, gamma=1.4024703630860786, n_steps=6, lambda=0.0013361713823518539, Score: 0.5104
Params: lr=0.1, n_d=30, n_a=14, gamma=1.5208902825890036, n_steps=6, lambda=0.008783967711357012, Score: 0.5071
Params: lr=0.01, n_d=27, n_a=24, gamma=1.7190124157075162, n_steps=5, lambda=0.003917583356547827, Score: 0.4912
Params: lr=0.05, n_d=25, n_a=17, gamma=1.4456881136173363, n_steps=5, lambda=0.0020044371398669943, Score: 0.5033
Params: lr=0.07, n_d=8, n_a=22, gamma=1.5589886986843546, n_steps=7, lambda=0.0028137918665354874, Score: 0.5167
Params: lr=0.07, n_d=10, n_a=22, gamma=1.569619193806619, n_steps=7, lambda=0.00259368805571025, Score: 0.4923
Params: lr=0.07, n_d=8, n_a=20, gamma=1.5565788910517833, n_steps=7, lambda=0.003153389654812358, Score: 0.4892
Params: lr=0.07, n_d=13, n_a=25, gamma=1.622786153506818, n_steps=7, lambda=0.002765673218792943, Score: 0.4973
Params: lr=0.07, n_d=32, n_a=22, gamma=1.667929656717338, n_steps=6, lambda=0.002277792491678534, Score: 0.5099
Params: lr=0.07, n_d=27, n_a=23, gamma=1.2265941210255231, n_steps=4, lambda=0.0036588564425116604, Score: 0.5005
Params: lr=0.07, n_d=31, n_a=10, gamma=1.4700915421582477, n_steps=7, lambda=0.0067145044703232955, Score: 0.5005
Params: lr=0.1, n_d=11, n_a=29, gamma=1.2717808390313234, n_steps=3, lambda=0.009872361355024005, Score: 0.4965
Params: lr=0.07, n_d=29, n_a=19, gamma=1.5289262419567233, n_steps=7, lambda=0.004355583608501839, Score: 0.4939
Params: lr=0.01, n_d=16, n_a=17, gamma=1.5871042812677068, n_steps=5, lambda=0.001836297700571939, Score: 0.5050
Best parameters: {'n_d': 32, 'n_a': 15, 'gamma': 1.2332473005240914, 'n_steps': 7, 'lambda_sparse': 0.009596764387631079, 'lr': 0.07}
Best score: 0.5220
Params: lr=0.1, n_d=15, n_a=32, gamma=1.4092050672682197, n_steps=6, lambda=0.007804212626218803, Score: 0.4915
Params: lr=0.07, n_d=23, n_a=20, gamma=1.7318019985405522, n_steps=6, lambda=0.0016671865194362926, Score: 0.4980
Params: lr=0.07, n_d=18, n_a=20, gamma=1.4148579446908642, n_steps=4, lambda=0.0056263076841613375, Score: 0.4851
Params: lr=0.01, n_d=9, n_a=22, gamma=1.2089962038730866, n_steps=5, lambda=0.004442760854263649, Score: 0.4776
Params: lr=0.01, n_d=29, n_a=19, gamma=1.4933642734385462, n_steps=6, lambda=0.0018125423864784917, Score: 0.4943
Params: lr=0.1, n_d=31, n_a=20, gamma=1.410119368640367, n_steps=7, lambda=0.003995603069567677, Score: 0.4981
Params: lr=0.05, n_d=30, n_a=24, gamma=1.2505383242638286, n_steps=4, lambda=0.005817055520391428, Score: 0.5109
Params: lr=0.1, n_d=31, n_a=17, gamma=1.480715299392074, n_steps=3, lambda=0.008328726475748111, Score: 0.4923
Params: lr=0.05, n_d=21, n_a=22, gamma=1.5523571847487798, n_steps=4, lambda=0.0013305647857527433, Score: 0.4989
Params: lr=0.07, n_d=11, n_a=17, gamma=1.5888578319832967, n_steps=7, lambda=0.006818092899550318, Score: 0.5073
Params: lr=0.05, n_d=27, n_a=9, gamma=1.2017739013507438, n_steps=3, lambda=0.00255197673239505, Score: 0.4937
Params: lr=0.07, n_d=10, n_a=27, gamma=1.6508083179884274, n_steps=7, lambda=0.00617978832161698, Score: 0.5023
Params: lr=0.05, n_d=14, n_a=14, gamma=1.3058388721489194, n_steps=4, lambda=0.00977647263485677, Score: 0.4881
Params: lr=0.07, n_d=24, n_a=27, gamma=1.6066305205391584, n_steps=5, lambda=0.003541987061258926, Score: 0.5118
Params: lr=0.05, n_d=25, n_a=27, gamma=1.7933763300838743, n_steps=5, lambda=0.0031819565581020304, Score: 0.4818
Params: lr=0.05, n_d=26, n_a=26, gamma=1.6584354630550648, n_steps=4, lambda=0.0024885400877698335, Score: 0.5010
Params: lr=0.07, n_d=22, n_a=32, gamma=1.30475531252658, n_steps=5, lambda=0.004286228059978808, Score: 0.4933
Params: lr=0.01, n_d=28, n_a=25, gamma=1.3147330749292743, n_steps=3, lambda=0.0032146203725700213, Score: 0.5040
Params: lr=0.07, n_d=18, n_a=30, gamma=1.6181910838355522, n_steps=4, lambda=0.005263042580063587, Score: 0.4974
Params: lr=0.05, n_d=32, n_a=24, gamma=1.5547103691226711, n_steps=5, lambda=0.002467566035557581, Score: 0.5062
Params: lr=0.05, n_d=24, n_a=29, gamma=1.7384883416752779, n_steps=5, lambda=0.003585308355654739, Score: 0.5105
Params: lr=0.05, n_d=24, n_a=29, gamma=1.7165197401563037, n_steps=5, lambda=0.003691780772101601, Score: 0.4825
Params: lr=0.05, n_d=20, n_a=28, gamma=1.7981465369517386, n_steps=6, lambda=0.0010093463346924451, Score: 0.5001
Params: lr=0.05, n_d=29, n_a=24, gamma=1.7027611691135447, n_steps=4, lambda=0.004920571204940833, Score: 0.4884
Params: lr=0.05, n_d=25, n_a=23, gamma=1.7404760983379544, n_steps=5, lambda=0.0028068801981496767, Score: 0.4883
Params: lr=0.07, n_d=23, n_a=29, gamma=1.6807582490550352, n_steps=5, lambda=0.001997785938674334, Score: 0.5006
Params: lr=0.01, n_d=19, n_a=30, gamma=1.6020876439639955, n_steps=6, lambda=0.003435684973871631, Score: 0.5107
Params: lr=0.01, n_d=19, n_a=31, gamma=1.5405022043744097, n_steps=6, lambda=0.00485672197081083, Score: 0.4890
Params: lr=0.01, n_d=15, n_a=26, gamma=1.6152077513626304, n_steps=6, lambda=0.006783315464499869, Score: 0.5045
Params: lr=0.1, n_d=17, n_a=32, gamma=1.5041537257394377, n_steps=6, lambda=0.008091485347415031, Score: 0.5207
Params: lr=0.1, n_d=13, n_a=32, gamma=1.4575957225327438, n_steps=7, lambda=0.008857529436985458, Score: 0.5099
Params: lr=0.1, n_d=17, n_a=31, gamma=1.580856299047705, n_steps=6, lambda=0.007537679374124935, Score: 0.4752
Params: lr=0.1, n_d=17, n_a=30, gamma=1.5312698659682764, n_steps=6, lambda=0.006154252475094151, Score: 0.4885
Params: lr=0.01, n_d=16, n_a=27, gamma=1.4422428080113927, n_steps=6, lambda=0.007431405754031615, Score: 0.5045
Params: lr=0.1, n_d=21, n_a=32, gamma=1.353403468294608, n_steps=7, lambda=0.0057729534170891175, Score: 0.5045
Params: lr=0.01, n_d=19, n_a=28, gamma=1.5060242678788356, n_steps=5, lambda=0.009604529468769352, Score: 0.4915
Params: lr=0.07, n_d=12, n_a=25, gamma=1.3734726981659453, n_steps=6, lambda=0.0020624312602307276, Score: 0.5008
Params: lr=0.1, n_d=30, n_a=22, gamma=1.2406382084995746, n_steps=4, lambda=0.004534533389620292, Score: 0.4752
Params: lr=0.01, n_d=22, n_a=30, gamma=1.5024240098792518, n_steps=3, lambda=0.003920990881977524, Score: 0.5054
Params: lr=0.07, n_d=20, n_a=21, gamma=1.6208990543137671, n_steps=6, lambda=0.003401818224172252, Score: 0.4862
Params: lr=0.1, n_d=15, n_a=19, gamma=1.5789762643492657, n_steps=7, lambda=0.0029073710893372457, Score: 0.5114
